Product_Name,Brand_Name,Model_Code,Category,Price_THB,Product_URL,Source,Collection_Date,Normalized_Category
เหล็กรางน้ำ SYS PB ทำสีรองพื้นกันสนิม ยาว 6 เมตร,SYS,46545966.0,steel,4073.4,https://www.onestockhome.com/th/products/52591551/channel-primer-bond-budget_channel-steel_sys-primerbond-budget_sys?item_id=46545966,OneStockHome,2026-04-30,Steel
เหล็กไอบีม IB SYS PB ทำสีรองพื้นกันสนิม ยาว 6 เมตร,SYS,54001820.0,steel,13154.4,https://www.onestockhome.com/th/products/86686170/i-beam-primer-bond-budget_i-beam_sys-primerbond-budget_sys?item_id=54001820,OneStockHome,2026-04-30,Steel
เหล็ก HB H Beam เอชบีม 150x150 SS400 (HB 150x150),OneStockHome,4813988.0,steel,5821.2,https://www.onestockhome.com/th/products/38937061/h-beam-150x150-ss400_sys,OneStockHome,2026-04-30,Steel
เหล็กข้ออ้อย TATA SD40 non-T 6 หุน (20 มิล) DB20,TATA,78142946.0,steel,689.45,https://www.onestockhome.com/th/products/76260840/deformed-bar-sd40-tata-20-mm-db20_onestockhome?item_id=78142946,OneStockHome,2026-04-30,Steel
เหล็กกล่องกัลวาไนซ์ 2x1 นิ้ว ยาว 6 เมตร,OneStockHome,8649809.0,steel,211.21,https://www.onestockhome.com/th/products/71760827/galvanized-rectangular-pipe-2-x-1-inches_pre-zinc-gi-pipes_onestockhome,OneStockHome,2026-04-30,Steel
เหล็กกล่อง 2x2 นิ้ว ยาว 6 เมตร,OneStockHome,5662682.0,steel,427.1,https://www.onestockhome.com/th/products/46362555/steel-square-pipe-2x2-inch-_steel-tube-2-x-2-inch_onestockhome?item_id=5662682,OneStockHome,2026-04-30,Steel
เหล็กกล่องกัลวาไนซ์ 4x2 นิ้ว ยาว 6 เมตร,OneStockHome,72936103.0,steel,485.98,https://www.onestockhome.com/th/products/91021271/galvanized-rectangular-pipe-4-x-2-inches_pre-zinc-gi-pipes_onestockhome?item_id=72936103,OneStockHome,2026-04-30,Steel
เหล็กกล่องกัลวาไนซ์ 2x2 นิ้ว ยาว 6 เมตร,OneStockHome,54350837.0,steel,321.5,https://www.onestockhome.com/th/products/17949254/square-tube-galvanized-2-x-2-inches_pre-zinc-gi-pipes_onestockhome,OneStockHome,2026-04-30,Steel
เหล็กกล่องกัลวาไนซ์ 2x2 นิ้ว ยาว 6 เมตร,OneStockHome,94572644.0,steel,444.86,https://www.onestockhome.com/th/products/17949254/square-tube-galvanized-2-x-2-inches_pre-zinc-gi-pipes_onestockhome?item_id=94572644,OneStockHome,2026-04-30,Steel
เหล็กฉาก 2 นิ้ว (50x50 มม.) ยาว 6 เมตร,OneStockHome,25751446.0,steel,448.6,https://www.onestockhome.com/th/products/5315815/equal-angles-steel-tis-50x50-mm_angle-steel_onestockhome?item_id=25751446,OneStockHome,2026-04-30,Steel
เหล็กข้ออ้อย TATA SD40 non-T 5 หุน (16 มิล) DB16,TATA,82516733.0,steel,367.67,https://www.onestockhome.com/th/products/78915123/deformed-bar-sd40-tata-16-mm-db16_onestockhome,OneStockHome,2026-04-30,Steel
เหล็กข้ออ้อย TATA SD40 non-T 1 นิ้ว (25 มิล) DB25,TATA,85763527.0,steel,897.75,https://www.onestockhome.com/th/products/97954827/deformed-bar-sd40-tata-25-mm-db25_onestockhome,OneStockHome,2026-04-30,Steel
